GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_003018015.1	6291358	GCF_003018015.1	14364558	
GCA_003018035.1	6291378	GCF_003018035.1	6307258	
GCA_003018055.1	6291398	GCF_003018055.1	6307098	
GCA_003018075.1	6291418	GCF_003018075.1	6306078	
GCA_003018095.1	6291438	GCF_003018095.1	6306258	
GCA_003018115.1	6291458	GCF_003018115.1	6306158	
GCA_003018135.1	6291478	GCF_003018135.1	6307198	
GCA_003018155.1	6291498	GCF_003018155.1	6306878	
GCA_003018195.1	6291538	GCF_003018195.1	6305918	
GCA_003018215.1	6291558	GCF_003018215.1	6305778	
GCA_003018235.1	6291578	GCF_003018235.1	6307058	
GCA_003018255.1	6291598	GCF_003018255.1	6306938	
GCA_003018275.1	6291618	GCF_003018275.1	6306018	
GCA_003018315.1	6291658	GCF_003018315.1	6305818	
GCA_003018335.1	6291678	GCF_003018335.1	6307118	
GCA_003018355.1	6291698	GCF_003018355.1	6306618	
GCA_003018375.1	6291718	GCF_003018375.1	6305678	
GCA_003018395.1	6291738	GCF_003018395.1	6305798	
GCA_003018435.1	6291778	GCF_003018435.1	14357788	
GCA_003018455.1	6291798	GCF_003018455.1	6306798	
GCA_003018475.1	6291818	GCF_003018475.1	6305738	
GCA_003018495.1	6291838	GCF_003018495.1	6305938	
GCA_003018535.1	6291878	GCF_003018535.1	6306918	
GCA_003018555.1	6291898	GCF_003018555.1	6308118	
GCA_003018575.1	6291918	GCF_003018575.1	6305558	
GCA_003018595.1	6291938	GCF_003018595.1	14347138	
GCA_003018615.1	6291958	GCF_003018615.1	6307598	
GCA_003018635.1	6291978	GCF_003018635.1	9064618	
GCA_003018655.1	6291998	GCF_003018655.1	6308178	
GCA_003018695.1	6292038	GCF_003018695.1	6305618	
GCA_003018715.1	6292058	GCF_003018715.1	6307558	
GCA_003018755.1	6292098	GCF_003018755.1	6308018	
GCA_003018775.1	6292118	GCF_003018775.1	6307898	
GCA_003018795.1	6292138	GCF_003018795.1	6305498	
GCA_003018815.1	6292158	GCF_003018815.1	6307438	
GCA_003018835.2	19657778	GCF_003018835.2	28429018	
GCA_003018855.1	6292198	GCF_003018855.1	6308058	
GCA_003018875.1	6292218	GCF_003018875.1	6307958	
GCA_003018895.1	6292238	GCF_003018895.1	6305418	
GCA_003018915.1	6292258	GCF_003018915.1	6307498	
GCA_003018935.1	6292278	GCF_003018935.1	6306718	
GCA_003018955.1	6292298	GCF_003018955.1	14357828	
GCA_003018995.1	6292328	GCF_003018995.1	6306978	
GCA_003019015.1	6292358	GCF_003019015.1	9064238	
GCA_003019035.1	6292378	GCF_003019035.1	6306658	
GCA_003019055.1	6292398	GCF_003019055.1	6306578	
GCA_003019075.1	6292418	GCF_003019075.1	6307838	
GCA_003019095.1	6292438	GCF_003019095.1	6305358	
GCA_003019115.1	6292458	GCF_003019115.1	6307378	
GCA_003019155.1	6292498	GCF_003019155.1	6306518	
GCA_003019175.1	6292518	GCF_003019175.1	6307778	
GCA_003019195.1	6292538	GCF_003019195.1	14347458	
GCA_003019215.1	6292558	GCF_003019215.1	6307318	
GCA_003019235.1	6292578	GCF_003019235.1	9064298	
GCA_003020885.1	6294988	GCF_003020885.1	6308378	
GCA_003030025.1	6315778	GCF_003030025.1	6324728	
GCA_003030245.1	6315998	GCF_003030245.1	6327048	
GCA_003030365.1	6316118	GCF_003030365.1	6325868	
GCA_003031225.1	6317038	GCF_003031225.1	6364528	
GCA_003031735.1	6317908	GCF_003031735.1	13396718	
GCA_003031775.1	6317948	GCF_003031775.1	13396198	
GCA_003031795.1	6317968	GCF_003031795.1	13396398	
GCA_003031815.1	6317998	GCF_003031815.1	13396458	
GCA_003033905.1	6321688	GCF_003033905.1	6366058	
GCA_003043915.1	6348318	GCF_003043915.1	6383278	
GCA_003044015.1	6348408	GCF_003044015.1	9063818	
GCA_003051985.2	6821808	GCF_003051985.2	6899298	
